,return_on_equity_pct,return_on_equity_pct,debt_to_equity,debt_to_equity,revenue_cagr_5yr,revenue_cagr_5yr,fcf_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct,operating_profit_margin_pct
,mean,median,mean,median,mean,median,mean,median,mean,median
cluster_id,,,,,,,,,,
0,17.698769290877124,17.698769290877124,0.018167610861496385,0.018167610861496385,15.90055107887675,15.182571707846414,10.999457080313183,12.24293442174449,81.97933410367432,82.49443596092091
1,17.698769290877124,17.698769290877124,0.018167610861496385,0.018167610861496385,10.697379079137376,11.63380022632805,-7.8103629670264025,-3.469343496883137,30.229071537858797,36.43736245822806
2,17.698769290877124,17.698769290877124,0.018167610861496385,0.018167610861496385,9.692882752925005,10.325615915556586,16.785383094285983,14.796205839600551,21.561728679432015,20.060386825753376
3,17.698769290877124,17.698769290877124,0.018167610861496385,0.018167610861496385,24.989782674440573,21.51390674143643,9.979686727960239,14.796205839600551,19.501144692776368,20.610097062272455
4,17.698769290877124,17.698769290877124,0.018167610861496385,0.018167610861496385,8.008755667240486,8.008755667240486,84.8618804466276,84.8618804466276,4.324444998916591,4.324444998916591
